,P_pred,P
2024-01-15 00:00:00,0.0012846035,0.0
2024-01-15 01:00:00,0.001289581,0.0
2024-01-15 02:00:00,0.0012881784,0.0
2024-01-15 03:00:00,0.0012828172,0.0
2024-01-15 04:00:00,0.0012864051,0.0
2024-01-15 05:00:00,0.0012738323,0.0
2024-01-15 06:00:00,0.0012811532,0.0
2024-01-15 07:00:00,0.0012829849,0.0
2024-01-15 08:00:00,0.0012852564,0.0
2024-01-15 09:00:00,0.0012931803,0.0
2024-01-15 10:00:00,0.0012841136,0.0
2024-01-15 11:00:00,0.0012855146,0.0
2024-01-15 12:00:00,0.0012908408,0.0
2024-01-15 13:00:00,0.0017289657,0.0667
2024-01-15 14:00:00,0.0012670944,0.0333
2024-01-15 15:00:00,0.0012556177,0.0333
2024-01-15 16:00:00,0.001438682,0.0
2024-01-15 17:00:00,0.0012830261,0.0167
2024-01-15 18:00:00,0.001273125,0.0
2024-01-15 19:00:00,0.0012750011,0.0
2024-01-15 20:00:00,0.0013136882,0.0
2024-01-15 21:00:00,0.0012618592,0.0
2024-01-15 22:00:00,0.0012543704,0.0
2024-01-15 23:00:00,0.0012852931,0.0
2024-01-16 00:00:00,0.0012768004,0.0
2024-01-16 01:00:00,0.0012726141,0.0
2024-01-16 02:00:00,0.0012704374,0.0
2024-01-16 03:00:00,0.001274304,0.0
2024-01-16 04:00:00,0.0012784437,0.0
2024-01-16 05:00:00,0.0012887905,0.0
2024-01-16 06:00:00,0.0012838407,0.0
2024-01-16 07:00:00,0.0012901591,0.0
2024-01-16 08:00:00,0.0012884941,0.0
2024-01-16 09:00:00,0.0013065478,0.0
2024-01-16 10:00:00,0.0013028872,0.0
2024-01-16 11:00:00,0.0013038493,0.0
2024-01-16 12:00:00,0.0012961794,0.0
2024-01-16 13:00:00,0.0013005116,0.0
2024-01-16 14:00:00,0.0013068351,0.0
2024-01-16 15:00:00,0.0013063753,0.0
2024-01-16 16:00:00,0.001304535,0.0
2024-01-16 17:00:00,0.0012961109,0.0
2024-01-16 18:00:00,0.0012886054,0.0
2024-01-16 19:00:00,0.0012772677,0.0
2024-01-16 20:00:00,0.0012722467,0.0
2024-01-16 21:00:00,0.0012759799,0.0
2024-01-16 22:00:00,0.0012821222,0.0
2024-01-16 23:00:00,0.0012758174,0.0
2024-01-17 00:00:00,0.0012843742,0.0
2024-01-17 01:00:00,0.0012920615,0.0
2024-01-17 02:00:00,0.0012932532,0.0
2024-01-17 03:00:00,0.0012931633,0.0
2024-01-17 04:00:00,0.0012963843,0.0
2024-01-17 05:00:00,0.0012928238,0.0
2024-01-17 06:00:00,0.0012865404,0.0
2024-01-17 07:00:00,0.0012865101,0.0
2024-01-17 08:00:00,0.0012860349,0.0
2024-01-17 09:00:00,0.0012936066,0.0
2024-01-17 10:00:00,0.0012860256,0.0
2024-01-17 11:00:00,0.0012805627,0.0
2024-01-17 12:00:00,0.001285308,0.0
2024-01-17 13:00:00,0.0012859323,0.0
2024-01-17 14:00:00,0.0012855292,0.0
2024-01-17 15:00:00,0.0012830398,0.0
2024-01-17 16:00:00,0.0012879767,0.0
2024-01-17 17:00:00,0.0012887027,0.0
2024-01-17 18:00:00,0.0012896527,0.0
2024-01-17 19:00:00,0.0012825152,0.0
2024-01-17 20:00:00,0.0012890846,0.0
2024-01-17 21:00:00,0.001285445,0.0
2024-01-17 22:00:00,0.0012804545,0.0
2024-01-17 23:00:00,0.0012885034,0.0
2024-01-18 00:00:00,0.0012857653,0.0
2024-01-18 01:00:00,0.001283499,0.0
2024-01-18 02:00:00,0.0012818009,0.0
2024-01-18 03:00:00,0.001279925,0.0
2024-01-18 04:00:00,0.0012885293,0.0
2024-01-18 05:00:00,0.001298296,0.0
2024-01-18 06:00:00,0.0012837686,0.0
2024-01-18 07:00:00,0.0012892275,0.0
2024-01-18 08:00:00,0.0012907758,0.0
2024-01-18 09:00:00,0.0012920401,0.0
2024-01-18 10:00:00,0.0012963896,0.0
2024-01-18 11:00:00,0.0012904243,0.0
2024-01-18 12:00:00,0.0012845169,0.0
2024-01-18 13:00:00,0.0012861965,0.0
2024-01-18 14:00:00,0.0012854128,0.0
2024-01-18 15:00:00,0.0012907591,0.0083
2024-01-18 16:00:00,0.0012959819,0.0
2024-01-18 17:00:00,0.001291878,0.0
2024-01-18 18:00:00,0.0012974353,0.0
2024-01-18 19:00:00,0.0012942026,0.0
2024-01-18 20:00:00,0.0012973039,0.0
2024-01-18 21:00:00,0.0012943146,0.0
2024-01-18 22:00:00,0.0012939516,0.0
2024-01-18 23:00:00,0.0012859793,0.0
2024-01-19 00:00:00,0.0012915181,0.0
2024-01-19 01:00:00,0.0012914371,0.0
2024-01-19 02:00:00,0.0012894815,0.0
2024-01-19 03:00:00,0.001285044,0.0
2024-01-19 04:00:00,0.0012900499,0.0
2024-01-19 05:00:00,0.0012929225,0.0
2024-01-19 06:00:00,0.0012872363,0.0
2024-01-19 07:00:00,0.0012832615,0.0
2024-01-19 08:00:00,0.0012867767,0.0
2024-01-19 09:00:00,0.0012840405,0.0
2024-01-19 10:00:00,0.0012880869,0.0
2024-01-19 11:00:00,0.001291981,0.0
2024-01-19 12:00:00,0.0012847749,0.0
2024-01-19 13:00:00,0.0012920867,0.0
2024-01-19 14:00:00,0.0012913363,0.0
2024-01-19 15:00:00,0.0012886655,0.0
2024-01-19 16:00:00,0.001293723,0.0
2024-01-19 17:00:00,0.001288014,0.0
2024-01-19 18:00:00,0.0012867074,0.0
2024-01-19 19:00:00,0.0012864498,0.0
2024-01-19 20:00:00,0.0012855814,0.0
2024-01-19 21:00:00,0.0012871707,0.0
2024-01-19 22:00:00,0.001286515,0.0
2024-01-19 23:00:00,0.0012860978,0.0
2024-01-20 00:00:00,0.0012899474,0.0
2024-01-20 01:00:00,0.0012881444,0.0
2024-01-20 02:00:00,0.0012925055,0.0
2024-01-20 03:00:00,0.0012918678,0.0
2024-01-20 04:00:00,0.0012933514,0.0
2024-01-20 05:00:00,0.0012943675,0.0
2024-01-20 06:00:00,0.0012858186,0.0
2024-01-20 07:00:00,0.0012970571,0.0
2024-01-20 08:00:00,0.0012882985,0.0
2024-01-20 09:00:00,0.0012847544,0.0
2024-01-20 10:00:00,0.0012879667,0.0
2024-01-20 11:00:00,0.0012818947,0.0
2024-01-20 12:00:00,0.0012773047,0.0
2024-01-20 13:00:00,0.0012880298,0.0
2024-01-20 14:00:00,0.0012896284,0.0
2024-01-20 15:00:00,0.0012949298,0.5417
2024-01-20 16:00:00,0.0012942627,0.0
2024-01-20 17:00:00,0.0012960522,0.0
2024-01-20 18:00:00,0.0012996867,0.0
2024-01-20 19:00:00,0.0012919172,0.0
2024-01-20 20:00:00,0.0012908578,0.0
2024-01-20 21:00:00,0.0012835944,0.0
2024-01-20 22:00:00,0.0012885949,0.0167
2024-01-20 23:00:00,0.001286213,0.0
2024-01-21 00:00:00,0.0012936955,0.0
2024-01-21 01:00:00,0.0012916285,0.0
2024-01-21 02:00:00,0.0012889253,0.0
2024-01-21 03:00:00,0.001284909,0.0
2024-01-21 04:00:00,0.0012870408,0.0
2024-01-21 05:00:00,0.001287641,0.0
2024-01-21 06:00:00,0.0012872354,0.0
2024-01-21 07:00:00,0.0012866838,0.0
2024-01-21 08:00:00,0.0012899111,0.0
2024-01-21 09:00:00,0.0012919833,0.0
2024-01-21 10:00:00,0.0012946981,0.0
2024-01-21 11:00:00,0.001293947,0.0167
2024-01-21 12:00:00,0.009199906,0.0333
2024-01-21 13:00:00,0.0061070807,0.0167
2024-01-21 14:00:00,0.018413784,0.0
2024-01-21 15:00:00,0.03323004,0.0167
2024-01-21 16:00:00,0.01726843,0.0
2024-01-21 17:00:00,0.0018864288,0.0
2024-01-21 18:00:00,0.0,0.0
2024-01-21 19:00:00,0.0,0.0
2024-01-21 20:00:00,0.0,0.0
2024-01-21 21:00:00,0.0,0.0
2024-01-21 22:00:00,0.0,0.0
2024-01-21 23:00:00,0.00042722235,0.0
2024-01-22 00:00:00,0.0020335107,0.0
2024-01-22 01:00:00,0.009009866,0.0
2024-01-22 02:00:00,0.0389827,0.0
2024-01-22 03:00:00,0.05621844,0.0
2024-01-22 04:00:00,0.06730385,0.0
2024-01-22 05:00:00,0.08739117,0.0667
2024-01-22 06:00:00,0.050669003,0.0167
2024-01-22 07:00:00,0.0030804689,0.0
2024-01-22 08:00:00,0.013254369,0.05
2024-01-22 09:00:00,0.035423975,0.0
2024-01-22 10:00:00,0.0013182408,0.0
