,P_pred,P
2023-12-01 00:00:00,0.0012942192,0.0
2023-12-01 01:00:00,0.0012755438,0.0
2023-12-01 02:00:00,0.0012679202,0.0
2023-12-01 03:00:00,0.0012705638,0.0
2023-12-01 04:00:00,0.0012770421,0.0
2023-12-01 05:00:00,0.0012721294,0.0
2023-12-01 06:00:00,0.0012848184,0.0
2023-12-01 07:00:00,0.0013270169,0.0
2023-12-01 08:00:00,0.0013729706,0.0
2023-12-01 09:00:00,0.0014299713,0.0
2023-12-01 10:00:00,0.0014532632,0.0
2023-12-01 11:00:00,0.001450235,0.0
2023-12-01 12:00:00,0.0014492921,0.0
2023-12-01 13:00:00,0.0014513806,0.0
2023-12-01 14:00:00,0.0014609373,0.0
2023-12-01 15:00:00,0.001458904,0.0
2023-12-01 16:00:00,0.001435281,0.0
2023-12-01 17:00:00,0.0013837907,0.0
2023-12-01 18:00:00,0.0013372991,0.0
2023-12-01 19:00:00,0.0013036646,0.0
2023-12-01 20:00:00,0.0012917737,0.0
2023-12-01 21:00:00,0.0012901574,0.0
2023-12-01 22:00:00,0.0012874929,0.0
2023-12-01 23:00:00,0.0012823595,0.0
2023-12-02 00:00:00,0.00128162,0.0
2023-12-02 01:00:00,0.0012893402,0.0
2023-12-02 02:00:00,0.0012808568,0.0
2023-12-02 03:00:00,0.0012809269,0.0
2023-12-02 04:00:00,0.0012828293,0.0
2023-12-02 05:00:00,0.0012789639,0.0
2023-12-02 06:00:00,0.0012735408,0.0
2023-12-02 07:00:00,0.001281586,0.0
2023-12-02 08:00:00,0.001284163,0.0
2023-12-02 09:00:00,0.0012916275,0.0
2023-12-02 10:00:00,0.0012911703,0.0
2023-12-02 11:00:00,0.001290957,0.0
2023-12-02 12:00:00,0.0012883018,0.0
2023-12-02 13:00:00,0.0012962718,0.0
2023-12-02 14:00:00,0.0012890724,0.0
2023-12-02 15:00:00,0.0012970872,0.0
2023-12-02 16:00:00,0.0012966283,0.0
2023-12-02 17:00:00,0.0012882487,0.0
2023-12-02 18:00:00,0.0012882301,0.0
2023-12-02 19:00:00,0.0012823292,0.0
2023-12-02 20:00:00,0.0012911719,0.0
2023-12-02 21:00:00,0.0012936383,0.0
2023-12-02 22:00:00,0.0012907633,0.0
2023-12-02 23:00:00,0.001293947,0.0
2023-12-03 00:00:00,0.0012945035,0.0
2023-12-03 01:00:00,0.0012923535,0.0
2023-12-03 02:00:00,0.0012941686,0.0
2023-12-03 03:00:00,0.0012865704,0.0
2023-12-03 04:00:00,0.0012941947,0.0
2023-12-03 05:00:00,0.0012932741,0.0
2023-12-03 06:00:00,0.0012951731,0.0
2023-12-03 07:00:00,0.0012932229,0.0
2023-12-03 08:00:00,0.0012870268,0.0
2023-12-03 09:00:00,0.0012831045,0.0
2023-12-03 10:00:00,0.0012881507,0.0
2023-12-03 11:00:00,0.0012934413,0.0
2023-12-03 12:00:00,0.0012913574,0.0
2023-12-03 13:00:00,0.0012882301,0.0
2023-12-03 14:00:00,0.0012874946,0.0
2023-12-03 15:00:00,0.0012899977,0.0
2023-12-03 16:00:00,0.0012899516,0.0
2023-12-03 17:00:00,0.001294507,0.0
2023-12-03 18:00:00,0.0012948255,0.0
2023-12-03 19:00:00,0.0012944718,0.0
2023-12-03 20:00:00,0.0012926953,0.0
2023-12-03 21:00:00,0.0012904322,0.0
2023-12-03 22:00:00,0.0012919982,0.0167
2023-12-03 23:00:00,0.001287852,0.0167
2023-12-04 00:00:00,0.0012969635,0.0
2023-12-04 01:00:00,0.0012923772,0.0167
2023-12-04 02:00:00,0.0012923065,0.0
2023-12-04 03:00:00,0.0012893677,0.0
2023-12-04 04:00:00,0.0012910191,0.0167
2023-12-04 05:00:00,0.0012871881,0.0
2023-12-04 06:00:00,0.001285892,0.0
2023-12-04 07:00:00,0.0012760591,0.0
2023-12-04 08:00:00,0.0012864857,0.0167
2023-12-04 09:00:00,0.0012778505,0.0
2023-12-04 10:00:00,0.0012775525,0.0
2023-12-04 11:00:00,0.0012785457,0.0
2023-12-04 12:00:00,0.0012786705,0.0
2023-12-04 13:00:00,0.0012818282,0.0
2023-12-04 14:00:00,0.0012901397,0.0
